Tender Title,Label,Label_Predicted
Procurement of Wooden Liner,raw_materials,raw_materials
Blood Chemistry Analyzer,electronics,hardware
"Smoke based mosquito control for adult mosquito and control of larva by Mist Bolo machine, treatment of Anti Rodent and snake at residential building, office building at ISP Township.",vehicle/equipment_hiring,hardware
Global Tender for 1414 MT of Silicon Carbide-85 percent  for SRU-Bhandaridah,raw_materials,raw_materials
Global Tender for 110 MT of Carbon Blackfor SRU-Bhandaridah.,raw_materials,raw_materials
"Open Tender for Procurement of 3 core x 70 sq.mm copper cable for SAIL - Collieries Division, Chasnalla Colliery",hardware,raw_materials
"Supply, Installation, Demonstration of performance, Commissioning, Training and Post Warranty maintenance (for 12 months after warranty period) of Portable Optical Emission Spectrometer at SML, RDCIS, SAIL, Ranchi, Jharkhand, India",machine,machine
Procurement of Nickel for SAIL Plants,raw_materials,raw_materials
Hiring of equipment’s for excavation and transport work at Nandini Mine,vehicle/equipment_hiring,vehicle/equipment_hiring
Blood Chemistry Analyzer,electronics,hardware
Online Tender for appointment of a Distributor for Retail Sales of TMT in the identified Raipur Cluster,none,none
Bed Side Multi Parameter Monitor,electronics,hardware
"Hiring of three Nos. (03) diesel operated air-conditioned passenger vehicles (Bolero or its equivalent) for Environment Laboratory(IOC), CSW Plant, Dalli Mechanised Mine and Jharandalli Mine of IOC Rajhara.",vehicle/equipment_hiring,vehicle/equipment_hiring
Procurement of Calcined Petroleum Coke,raw_materials,raw_materials
Hiring of Shovel having minimum 2.5 cubic meter bucket capacity at Rajhara Mechanised Mine.,vehicle/equipment_hiring,vehicle/equipment_hiring
Procurement of Ferro Tungsten,raw_materials,raw_materials
Gear Box Overhauling of Critical Gear Boxes at Central Workshops.,none,hardware
"Horizontal take up , Track hopper grating, Skirt board, SS. Liner& other maintenance jobs in OHP",none,none
"Support Facility for cleaning of Grizzly at New Hopper N/L, S/L & below toggle plate of S/L, N/L at Jaw Crushe of OHP at Gua Ore Mines",none,hardware
B Class GI Specials and GM Gate Valves,hardware,hardware
ORIFICE  FLOW METER FOR RAW WATER RISING MAIN,hardware,hardware
"MONITOR, FLOW, ELECTRONIC",electronics,hardware
OLFA FOR SALE OF INDUSTRIAL GASES (LIQUID ARGON),raw_materials,raw_materials
Steel Ladle Refractories on Total Ladle Management for SMS-2 Steel Ladles,machine,none
"Silica Sand, Foundry Grade (Rajmahal variety)as per IS:1987 of 1974, Grade-A (Double washed)",raw_materials,hardware
Hiring of Truck Mounted Boom Lift,vehicle/equipment_hiring,vehicle/equipment_hiring
FA No. 24003002 dt. 25.03.20 – IDLE ASSETS –Coke Oven Battery No.-6,electronics,raw_materials
HIRING OF MINIBUS (1 NO) FOR CISF UNIT OF SGW KULTI ALONG WITH DRIVER AND ATTENDANT,vehicle/equipment_hiring,vehicle/equipment_hiring
Steel Ladle Refractories on Total Ladle Management for SMS-3 Steel Ladles,machine,none
FA No. 24003027 dt. 13.05.20 – IDLE ASSETS –Coke Oven Battery No.-6,electronics,raw_materials
Hiring of 03 (three) No. diesel operated Mahindra & Mahindra Bolero DI of January 2016 or any later Model for deployment at Bolani Ores Mines (BOM) on 24 hours per day basis for 365 days in a year.,vehicle/equipment_hiring,vehicle/equipment_hiring
"1478 Various jobs contracts (OTE-1478, EXTENSION OF VARIOUS JOBS, ) of Works Division of SAIL/Bokaro Steel Plant.",none,none
