Tender Title,Label,Tender No and date,Plant/Unit,Tender issue date and time,Bid Submission Closing date and Time,Remarks,Label_Code
Procurement of water treatment chemicals for 4161 m3 BF Gas cleaning plant & its effluent treatment plant for 12 months with all other associated services.,raw_materials,000000001738 Dt. 17/01/2020,IISCO Steel Plant,Feb 18 2020  5:00:00:000PM,Mar 25 2020 12:00:00:000PM,Corr,5
SPARES FOR ROD MILL LINER,hardware,003/215/1902000911/500006763/01/00,Rourkela Steel Plant,Jan  8 2020  8:00:00:000PM,May 21 2020  4:00:00:000PM,Corr,2
"SPARES FOR OVEN INTERLOCKING SYSTEM OF COB-1,3,5 AND 6",hardware,003/340/1902000406/01/00/500006867 dated 21.01.2020,Rourkela Steel Plant,Feb 26 2020  7:00:00:000PM,Mar 26 2020  4:00:00:000PM,Corr,2
ORIFICE  FLOW METER FOR RAW WATER RISING MAIN,hardware,003/530/1902002486/01/00/500006927 DTD.20.02.2020,Rourkela Steel Plant,Feb 20 2020  8:00:00:000PM,Apr 20 2020  4:00:00:000PM,Corr,2
"FIRE FIGHTG ENSEMBLE SET (JACKET,TROUSER,BOOT,H/GLOVES,HELMET)-MATCHING",none,004/007/1848000076/02/00/500006945  DATED:05.03.2020,Rourkela Steel Plant,Apr 29 2020  4:00:00:000PM,May 20 2020  4:00:00:000PM,Corr,4
REQUIREMENT OF SCANTLING AS PER TASK FORCE 2020-21.,none,004/2036000001/01  DATED:06.05.2020,Rourkela Steel Plant,May  7 2020  4:00:00:000PM,Jun  3 2020  4:00:00:000PM, --  ,4
FIRE FIGHTING ENSEMBLE SET,none,007-1848000076/02/00 dtd.03.03.2020,Rourkela Steel Plant,Mar  9 2020  4:00:00:000PM,Mar 26 2020  4:00:00:000PM, --  ,4
Manganese metal Briquette,raw_materials,007/619/1960000044/02/00/500006985 DATED:18.03.2020,Rourkela Steel Plant,Mar 18 2020  7:00:00:000PM,May 26 2020  4:00:00:000PM,Corr,5
"Supply, erection and commissioning of Wind Driven Turbo Ventilators at Silicon Steel Mill of RSP, as per attached Bill of Materials and item description.",electronics,042/664/1990000051/R1/111  Dt.25.03.2020,Rourkela Steel Plant,Mar 26 2020  5:00:00:000PM,Apr 15 2020  2:30:00:000PM, --  ,1
Procurement of Side Lift Truck of Capacity 10T for Pipe Plants,machine,042/675/1892000161/R1/101 DATED:22.02.2020,Rourkela Steel Plant,Feb 29 2020  5:45:00:000PM,May 26 2020  2:30:00:000PM,Corr,3
Procurement of Rough Terrain Crane (100T Capacity) for FM(M),machine,042/675/1992000182/90 DATED:17.01.2020,Rourkela Steel Plant,Jan 18 2020 12:50:00:000PM,May 26 2020  2:30:00:000PM,Corr,3
"Procurement of PSC Sleepers, BG, for 60 Kg/m Rails.",none,042/697/1892000113 (R)/112 Dated 21.04.2020,Rourkela Steel Plant,Apr 21 2020  6:00:00:000PM,May 27 2020  2:30:00:000PM,Corr,4
PROCUREMENT OF ANAESTHESIA WORK STATION WITH MULTIPARA MONITOR,none,044/006/1892000126-R2/103      DATED:27.02.2020,Rourkela Steel Plant,Feb 27 2020  6:00:00:000PM,May 22 2020  2:30:00:000PM,Corr,4
